critical_level,violation_description,violation_date
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/22/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/08/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/09/2017
C,Live roaches present in facility's food and/or non-food areas.,03/13/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,11/20/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/10/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/12/2018
C,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",12/21/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/13/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/03/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",09/20/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/19/2016
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",01/22/2019
C,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",05/09/2017
C,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,10/08/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/11/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/02/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",09/17/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/23/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/05/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11/07/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/13/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10/31/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",05/02/2018
C,Live roaches present in facility's food and/or non-food areas.,01/28/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/01/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11/04/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11/29/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",07/20/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",06/13/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",08/05/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/01/2017
C,Live roaches present in facility's food and/or non-food areas.,03/21/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/05/2019
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",12/04/2019
C,Evidence of rats or live rats present in facility's food and/or non-food areas.,04/25/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11/29/2018
C,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,08/14/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/11/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/18/2019
C,Hot food item not held at or above 140º F.,11/22/2019
C,Live roaches present in facility's food and/or non-food areas.,10/03/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/19/2016
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/21/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",06/10/2019
C,Hot food item not held at or above 140º F.,01/14/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/28/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10/10/2018
C,Food Protection Certificate not held by supervisor of food operations.,05/22/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/06/2018
C,Hot food item not held at or above 140º F.,04/30/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,11/04/2019
C,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",04/04/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/17/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/16/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/02/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/26/2018
C,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",05/30/2017
C,Food Protection Certificate not held by supervisor of food operations.,11/08/2019
C,Live roaches present in facility's food and/or non-food areas.,06/07/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",02/14/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/04/2019
C,Food Protection Certificate not held by supervisor of food operations.,12/05/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,12/03/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/16/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/22/2019
C,Food Protection Certificate not held by supervisor of food operations.,08/03/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",05/15/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",04/04/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",03/22/2017
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",05/30/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",05/06/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10/20/2017
C,Live roaches present in facility's food and/or non-food areas.,07/09/2019
C,Food Protection Certificate not held by supervisor of food operations.,05/29/2019
C,Hot food item not held at or above 140º F.,11/21/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/10/2017
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",04/11/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",12/19/2016
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",12/19/2016
C,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",01/08/2018
C,Wiping cloths soiled or not stored in sanitizing solution.,06/03/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/18/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/14/2019
C,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",11/05/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",05/16/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/17/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/09/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/02/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/09/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/31/2017
C,Hot food item not held at or above 140º F.,05/08/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",09/27/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/09/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/23/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/17/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",03/01/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/29/2018
C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,05/24/2018
C,Food Protection Certificate not held by supervisor of food operations.,06/12/2018
C,Live roaches present in facility's food and/or non-food areas.,02/08/2017
C,Food Protection Certificate not held by supervisor of food operations.,06/04/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",06/06/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,11/20/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",06/06/2019
C,Food Protection Certificate not held by supervisor of food operations.,11/29/2018
C,Live roaches present in facility's food and/or non-food areas.,03/27/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,08/06/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",03/05/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/11/2018
C,Food Protection Certificate not held by supervisor of food operations.,05/02/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/24/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11/07/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/27/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",07/24/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/05/2018
C,Food Protection Certificate not held by supervisor of food operations.,01/18/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/04/2019
C,Live roaches present in facility's food and/or non-food areas.,08/02/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,08/08/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,11/02/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/14/2019
C,Food Protection Certificate not held by supervisor of food operations.,02/06/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/25/2017
C,Food Protection Certificate not held by supervisor of food operations.,12/13/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/04/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/29/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",04/12/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/10/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",01/17/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/24/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",03/18/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/29/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/02/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,11/15/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/23/2016
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",02/13/2017
C,Live roaches present in facility's food and/or non-food areas.,02/06/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/03/2018
C,Hot food item not held at or above 140º F.,06/12/2018
C,Hot food item not held at or above 140º F.,12/08/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/16/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",03/13/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/07/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",02/01/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",07/12/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",07/06/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/31/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/21/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/07/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/29/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",02/28/2018
C,Food Protection Certificate not held by supervisor of food operations.,03/09/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",01/22/2019
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",09/12/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/17/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/08/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",03/17/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/22/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/17/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/07/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/24/2019
C,Live roaches present in facility's food and/or non-food areas.,10/18/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",03/29/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/03/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,12/06/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",01/16/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/13/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/30/2019
C,Live roaches present in facility's food and/or non-food areas.,11/08/2019
C,Hot food item not held at or above 140º F.,11/04/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/07/2019
C,Hot food item not held at or above 140º F.,11/20/2017
C,Food Protection Certificate not held by supervisor of food operations.,03/23/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/01/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",03/22/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,03/24/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",04/09/2018
C,Live roaches present in facility's food and/or non-food areas.,01/26/2017
C,Food Protection Certificate not held by supervisor of food operations.,11/06/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",04/11/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",12/27/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",02/07/2017
C,Live roaches present in facility's food and/or non-food areas.,02/14/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/15/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",03/08/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/06/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/01/2017
C,Hot food item not held at or above 140º F.,05/14/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/02/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/06/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/13/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/20/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/31/2019
C,Live roaches present in facility's food and/or non-food areas.,01/24/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/29/2019
C,Wiping cloths soiled or not stored in sanitizing solution.,11/08/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,01/17/2018
C,Food Protection Certificate not held by supervisor of food operations.,02/05/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/18/2019
C,Food Protection Certificate not held by supervisor of food operations.,06/13/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/06/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/26/2017
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,01/08/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/03/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",05/02/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11/16/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/07/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/25/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11/27/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/02/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/18/2019
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",08/14/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,02/14/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/23/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/09/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12/28/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",02/07/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/11/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/09/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/08/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/06/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",02/28/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/24/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/19/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,09/15/2017
C,Live roaches present in facility's food and/or non-food areas.,07/22/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",01/29/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,09/21/2018
C,Hot food item not held at or above 140º F.,03/26/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/13/2018
C,Food prepared from ingredients at ambient temperature not cooled to 41º F or below within 4 hours.,10/20/2017
C,Live roaches present in facility's food and/or non-food areas.,07/08/2019
C,Live roaches present in facility's food and/or non-food areas.,09/16/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/16/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,10/25/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/08/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/05/2018
C,Live roaches present in facility's food and/or non-food areas.,02/09/2018
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",06/13/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/06/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/22/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,09/12/2019
C,Food Protection Certificate not held by supervisor of food operations.,04/28/2017
C,Live roaches present in facility's food and/or non-food areas.,01/28/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",03/08/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/18/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",02/27/2017
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,05/30/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,06/08/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/08/2019
C,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",07/11/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/04/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,07/11/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",06/06/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/05/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",01/09/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/12/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/25/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",04/19/2017
C,Live roaches present in facility's food and/or non-food areas.,07/10/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",02/14/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/06/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",02/23/2017
C,Food Protection Certificate not held by supervisor of food operations.,12/01/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/06/2019
C,Food Protection Certificate not held by supervisor of food operations.,02/14/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/09/2017
C,Hot food item not held at or above 140º F.,02/08/2018
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",09/11/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",03/17/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/22/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,10/11/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,06/17/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/10/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",02/21/2019
C,Hot food item not held at or above 140º F.,01/12/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/01/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/08/2018
C,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",05/24/2017
C,Food Protection Certificate not held by supervisor of food operations.,02/01/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/14/2018
